Bahrain	28.47822456035752,56.8790016995957
Bejaja	18.370800951361215,74.93411843377955
Belize City	27.73913453305437,80.75510504677312
Bridgetown	27.46045870269677,75.48324334626777
Buckland	-1.844138435836813,80.02186726705526
Cabinda	27.003120026476964,80.34161294408962
Charles Town	27.88231410975081,69.8047120438679
Chittagong	27.70839026080758,73.14130339631062
Corning	16.21537358491923,79.68149593536981
Edson	1.5713530369103939,77.23143062991907
Gomel	8.967512673725373,75.16067864748022
Herat	19.41576925789192,38.571176625395374
Liege	11.12006331848552,75.30430766922264
Mendoza	17.611683167351387,52.81322054622384
Nassau	26.126015194240185,74.3351078661961
Oranjestad	28.42671861890271,75.73083783123865
Pago Pago	27.672930337313307,84.92413785389692
Prattville	18.196180274197125,78.01390868480064
Qabala	13.6591190109868,71.36313809141286
Sydney	18.91428673215201,66.66116552638285
The Valley	27.766853338941747,70.79026358261905
Tirana	16.170297816980536,68.62136567769934
Vienna	11.534841535940695,71.35119889444236
Weydon	-8.23884389560936,76.05928802092318
Williams	10.322694148237584,44.94536189628662
Yerevan	13.623863997614123,55.66899510516978
